"ecoSpeciesProfilesID"	"ecoSpeciesID"	"lifeZoneID"	"ecoGenusID"	"IUCNL3ID"	"BIOL4ID"	"ecoSpeciesDescription"	"ecoSpeciesBiota"	"ecoSpeciesDistribution"	"ecoSpeciesDistributionRasterName"	"ecoSpeciesDistributionRasterValue"	"RLEStatus"	"RLENotes"	"ecotaxonomicNotes"	"ecoSpeciesProfilesReferenceID"	"ecoSpeciesProfilesReference"	"ecoSpeciesProfilesReferencePage"	"ecoSpeciesProfilesReferenceAuthorID"	"ecoSpeciesProfilesReferenceDate"	"isProtologue"	"ecoSpeciesProfilesReferenceAuthor"
389	20200811160206	"20200422155340"	"628e8351-ae36-480d-bc85-12c094c9d813"	"T4.3"	"BIO-T6.1.2"									"https://doi.org/10.13140/RG.2.2.17934.89924"	"Senterre (2020)"	"58"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-10T21:00:00Z	1	"Senterre, Bruno"
390	20200811161957	"20200422155340"	"aa639302-e87b-4d89-b7bd-0d3265c50982"	"T1.4"	"BIO-T2.1.4"									"https://doi.org/10.13140/RG.2.2.17934.89924"	"Senterre (2020)"	"63"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-10T21:00:00Z	1	"Senterre, Bruno"
391	20200811162221	"ac3b768f-e0e9-4ca3-ba6a-f4bac91d2b6c"	"aa639302-e87b-4d89-b7bd-0d3265c50982"	"T1.4"	"BIO-T1.1.6"									"https://doi.org/10.13140/RG.2.2.17934.89924"	"Senterre (2020)"	"63"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-10T21:00:00Z	1	"Senterre, Bruno"
392	20200811163031	"ac3b768f-e0e9-4ca3-ba6a-f4bac91d2b6c"	"628e8351-ae36-480d-bc85-12c094c9d813"	"T4.3"	"BIO-T5.1.2"									"https://doi.org/10.13140/RG.2.2.17934.89924"	"Senterre (2020)"	"57"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-10T21:00:00Z	1	"Senterre, Bruno"
393	20200811163418	"7bed19ab-1acd-489b-96bf-b01843742a45"	"628e8351-ae36-480d-bc85-12c094c9d813"	"T3.4"	"BIO-T3.1.2"									"https://doi.org/10.13140/RG.2.2.17934.89924"	"Senterre (2020)"	"56"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-10T21:00:00Z	1	"Senterre, Bruno"
394	20200811163924	"7bed19ab-1acd-489b-96bf-b01843742a45"	"aa639302-e87b-4d89-b7bd-0d3265c50982"	"T1.4"	"BIO-T1.1.5"									"https://doi.org/10.13140/RG.2.2.17934.89924"	"Senterre (2020)"	"62"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-10T21:00:00Z	1	"Senterre, Bruno"
395	20200812084232	"20200804085240"	"20190814-1855"											"https://www.cepf.net/sites/default/files/face_lake_piso_report_2_.pdf"	"Siaffa Sambolah (2007)"		"SiaffaSambolahRichard"	2007-02-04T21:00:00Z	1	"Siaffa Sambolah, Richard"
396	20200812084238	"20200804085240"	"4166a7be-5ed2-4f61-9fe1-6d53cb99fc6a"											"https://www.cepf.net/sites/default/files/face_lake_piso_report_2_.pdf"	"Siaffa Sambolah (2007)"		"SiaffaSambolahRichard"	2007-02-04T21:00:00Z	1	"Siaffa Sambolah, Richard"
397	20200812084803	"d88800cf-d09e-4404-ace8-ed5ff6d1d433"	"4166a7be-5ed2-4f61-9fe1-6d53cb99fc6a"												"Diabaté (2019)"	"14"	"DiabatéMoussa"	2018-12-31T21:00:00Z	1	"Diabaté, Moussa"
398	20200812091827	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"4166a7be-5ed2-4f61-9fe1-6d53cb99fc6a"												"Diabaté (2019)"	"15"	"DiabatéMoussa"	2018-12-31T21:00:00Z	1	"Diabaté, Moussa"
399	20200812092751	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"4166a7be-5ed2-4f61-9fe1-6d53cb99fc6a"												"Diabaté (2019)"	"15"	"DiabatéMoussa"	2018-12-31T21:00:00Z	1	"Diabaté, Moussa"
400	20200812093256	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"82357250-99b1-4de1-ab12-dd946412583f"												"Diabaté (2019)"	"16"	"DiabatéMoussa"	2018-12-31T21:00:00Z	1	"Diabaté, Moussa"
401	20200812094424	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"628e8351-ae36-480d-bc85-12c094c9d813"												"Diabaté (2019)"	"16"	"DiabatéMoussa"	2018-12-31T21:00:00Z	1	"Diabaté, Moussa"
402	20200812094628	"e37c3a64-9cb6-4bb0-aec0-e1125f510c65"	"aa639302-e87b-4d89-b7bd-0d3265c50982"	"T1.4"	"BIO-T2.1.4"									"https://doi.org/10.13140/RG.2.2.17934.89924"	"Senterre (2020)"	"62"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-11T21:00:00Z	1	"Senterre, Bruno"
